Week,Total # of students,Total # of staff,# of Student Cases,# of staff Cases,# of Quarantined Students,# of Quarantined Staff
8/30/2020-9/4/2020,44175,5298,12,4,156,16
9/6/2020-9/11/2020,44175,5298,23,6,491,31
,,,,,,
9/20/2020-9/25/2020,44175,5298,28,7,421,27
9/27/2020-10/2/2020,44175,5298,30,7,665,33
10/4/2020-10/9/2020,44175,5298,15,4,649,36
10/11/2020-10/16/2020,44175,5298,14,10,533,45
10/18/2020-10/23/2020,44175,5298,22,14,661,64
10/25/2020-10/30/2020,44175,5298,27,13,835,55
11/1/2020-11/5/2020,44175,5298,58,10,1289,37
11/8/2020-11/13/2020,44175,5298,61,7,1458,70
